name,latitude_dmm,longitude_dmm,latitude_decimal,longitude_decimal,description,datos_interes,source
LAURA,34° 24.780' S,058° 35.070' W,-34.4130000,-58.5845000,"Guardería Náutica Laura / Biguá, Tupac Amaru 1130",Punto estimado de salida: confirmar en GPS antes de zarpar,Waze/Moovit + aproximación
LUJMAT,34° 24.756' S,058° 34.920' W,-34.4126000,-58.5820000,Río Luján frente al Museo de Arte Tigre,Salir despacio; alto tránsito turístico/deportivo,Estimado
LJCVIN,34° 26.002' S,058° 32.386' W,-34.4333717,-58.5397650,Río Luján y Canal Vinculación,Empalme con derrota CVPB; mínima velocidad compatible,CVPB Lujan02
CVINC1,34° 25.756' S,058° 32.427' W,-34.4292700,-58.5404450,Canal Vinculación,Centro de canal; prohibida vela según CVPB/PNA,CVPB
CVINC2,34° 25.395' S,058° 32.423' W,-34.4232483,-58.5403817,Canal Vinculación y Arroyo Gutiérrez,Seguir cauce central,CVPB
CVINC3,34° 24.468' S,058° 31.568' W,-34.4078000,-58.5261267,Canal Vinculación,Atención al tránsito,CVPB
CVINC4,34° 24.331' S,058° 31.200' W,-34.4055150,-58.5200000,Canal Vinculación y Río San Antonio,Banco al N; cardinal Este CEVinc cercano,CVPB
URION1,34° 23.701' S,058° 31.312' W,-34.3950167,-58.5218600,Río Urión,Motor; canal angosto,CVPB
URION2,34° 23.160' S,058° 31.542' W,-34.3860050,-58.5257033,Río Urión,Motor; canal angosto,CVPB
URION3,34° 22.830' S,058° 31.513' W,-34.3805017,-58.5252100,Río Urión,Motor; canal angosto,CVPB
URION4,34° 22.548' S,058° 31.404' W,-34.3757933,-58.5234050,Río Urión,Motor; canal angosto,CVPB
URION5,34° 22.092' S,058° 31.416' W,-34.3681967,-58.5236017,Río Urión,Motor; canal angosto,CVPB
URION6,34° 21.787' S,058° 31.457' W,-34.3631167,-58.5242850,Río Urión,Motor; canal angosto,CVPB
URION7,34° 21.454' S,058° 31.573' W,-34.3575667,-58.5262250,Río Urión,Motor; canal angosto,CVPB
URION8,34° 21.010' S,058° 31.351' W,-34.3501617,-58.5225233,Río Urión,Motor; canal angosto,CVPB
HONDA1,34° 20.565' S,058° 31.488' W,-34.3427550,-58.5247967,Canal Honda,"Sondajes CVPB: aprox. 2,5-3,0 m",CVPB
